city,year,weekofyear,total_cases
sj,2008,18,14
sj,2008,19,18
sj,2008,20,23
sj,2008,21,17
sj,2008,22,23
sj,2008,23,42
sj,2008,24,26
sj,2008,25,52
sj,2008,26,32
sj,2008,27,36
sj,2008,28,33
sj,2008,29,34
sj,2008,30,33
sj,2008,31,30
sj,2008,32,34
sj,2008,33,28
sj,2008,34,32
sj,2008,35,49
sj,2008,36,62
sj,2008,37,55
sj,2008,38,43
sj,2008,39,53
sj,2008,40,36
sj,2008,41,42
sj,2008,42,31
sj,2008,43,50
sj,2008,44,36
sj,2008,45,34
sj,2008,46,36
sj,2008,47,33
sj,2008,48,39
sj,2008,49,21
sj,2008,50,22
sj,2008,51,30
sj,2008,52,19
sj,2009,1,15
sj,2009,2,16
sj,2009,3,30
sj,2009,4,21
sj,2009,5,26
sj,2009,6,26
sj,2009,7,22
sj,2009,8,16
sj,2009,9,15
sj,2009,10,17
sj,2009,11,16
sj,2009,12,19
sj,2009,13,16
sj,2009,14,21
sj,2009,15,15
sj,2009,16,16
sj,2009,17,16
sj,2009,18,18
sj,2009,19,20
sj,2009,20,33
sj,2009,21,33
sj,2009,22,28
sj,2009,23,23
sj,2009,24,32
sj,2009,25,29
sj,2009,26,28
sj,2009,27,28
sj,2009,28,55
sj,2009,29,40
sj,2009,30,36
sj,2009,31,48
sj,2009,32,42
sj,2009,33,50
sj,2009,34,38
sj,2009,35,30
sj,2009,36,42
sj,2009,37,50
sj,2009,38,59
sj,2009,39,50
sj,2009,40,35
sj,2009,41,46
sj,2009,42,36
sj,2009,43,33
sj,2009,44,38
sj,2009,45,25
sj,2009,46,24
sj,2009,47,99
sj,2009,48,26
sj,2009,49,25
sj,2009,50,32
sj,2009,51,27
sj,2009,52,17
sj,2010,53,17
sj,2010,1,24
sj,2010,2,19
sj,2010,3,30
sj,2010,4,28
sj,2010,5,21
sj,2010,6,14
sj,2010,7,20
sj,2010,8,19
sj,2010,9,37
sj,2010,10,15
sj,2010,11,19
sj,2010,12,19
sj,2010,13,26
sj,2010,14,14
sj,2010,15,17
sj,2010,16,38
sj,2010,17,35
sj,2010,18,37
sj,2010,19,40
sj,2010,20,30
sj,2010,21,26
sj,2010,22,67
sj,2010,23,58
sj,2010,24,43
sj,2010,25,42
sj,2010,26,52
sj,2010,27,53
sj,2010,28,69
sj,2010,29,63
sj,2010,30,47
sj,2010,31,53
sj,2010,32,58
sj,2010,33,56
sj,2010,34,78
sj,2010,35,53
sj,2010,36,71
sj,2010,37,58
sj,2010,38,37
sj,2010,39,79
sj,2010,40,46
sj,2010,41,35
sj,2010,42,31
sj,2010,43,31
sj,2010,44,50
sj,2010,45,51
sj,2010,46,18
sj,2010,47,26
sj,2010,48,23
sj,2010,49,18
sj,2010,50,19
sj,2010,51,20
sj,2011,52,19
sj,2011,1,22
sj,2011,2,23
sj,2011,3,20
sj,2011,4,22
sj,2011,5,19
sj,2011,6,21
sj,2011,7,22
sj,2011,8,20
sj,2011,9,17
sj,2011,10,18
sj,2011,11,16
sj,2011,12,19
sj,2011,13,22
sj,2011,14,26
sj,2011,15,18
sj,2011,16,13
sj,2011,17,18
sj,2011,18,25
sj,2011,19,19
sj,2011,20,19
sj,2011,21,39
sj,2011,22,61
sj,2011,23,51
sj,2011,24,81
sj,2011,25,47
sj,2011,26,49
sj,2011,27,61
sj,2011,28,44
sj,2011,29,25
sj,2011,30,58
sj,2011,31,32
sj,2011,32,65
sj,2011,33,39
sj,2011,34,54
sj,2011,35,44
sj,2011,36,29
sj,2011,37,45
sj,2011,38,29
sj,2011,39,46
sj,2011,40,35
sj,2011,41,40
sj,2011,42,33
sj,2011,43,23
sj,2011,44,30
sj,2011,45,27
sj,2011,46,45
sj,2011,47,45
sj,2011,48,31
sj,2011,49,32
sj,2011,50,36
sj,2011,51,27
sj,2012,52,17
sj,2012,1,30
sj,2012,2,27
sj,2012,3,16
sj,2012,4,21
sj,2012,5,20
sj,2012,6,18
sj,2012,7,22
sj,2012,8,22
sj,2012,9,19
sj,2012,10,19
sj,2012,11,17
sj,2012,12,14
sj,2012,13,28
sj,2012,14,24
sj,2012,15,21
sj,2012,16,17
sj,2012,17,17
sj,2012,18,28
sj,2012,19,37
sj,2012,20,24
sj,2012,21,30
sj,2012,22,20
sj,2012,23,40
sj,2012,24,31
sj,2012,25,36
sj,2012,26,38
sj,2012,27,36
sj,2012,28,39
sj,2012,29,21
sj,2012,30,29
sj,2012,31,42
sj,2012,32,35
sj,2012,33,38
sj,2012,34,38
sj,2012,35,31
sj,2012,36,37
sj,2012,37,41
sj,2012,38,35
sj,2012,39,44
sj,2012,40,33
sj,2012,41,36
sj,2012,42,36
sj,2012,43,39
sj,2012,44,57
sj,2012,45,32
sj,2012,46,68
sj,2012,47,24
sj,2012,48,30
sj,2012,49,29
sj,2012,50,20
sj,2012,51,19
sj,2013,1,20
sj,2013,2,20
sj,2013,3,13
sj,2013,4,20
